15,6,19,7,TBH,BD,0,0,106
20,22,7,15,SC,KCB,0,0,106
24,21,2,4,FR,PS,0,0,106
5,9,4,13,BR,BO,0,0,106
23,12,13,5,CH,TBD,0,0,106
25,29,1,8,AS,LAR,0,0,106
8,7,10,12,OS,TBA,0,0,106
14,13,20,4,CB,PA,0,0,106
26,28,2,3,TBB,TD,0,0,106
16,17,20,4,SLO,TA,0,0,106
19,18,19,3,BA,BA,0,0,106
10,4,15,7,KCG,AA,0,0,106
2,27,5,3,ARC,CA,0,0,106
1,0,10,5,TP,BA,0,0,106
11,3,10,2,AA,WC,0,0,106
